fg,fga,fg%,3p,3pa,3p%,ft,fta,ast,ts%,efg%,trb%,ortg,fg_max,3p_max,ast_max,pts_max,+/-_max,total,fg_opp,fga_opp,drb_opp,trb_opp,pts_opp,trb%_opp,drtg_opp,+/-_max_opp,drtg_max_opp,total_opp,won,team,team_opp,pts,season,date
37.0,87.0,0.425,7.0,19.0,0.368,16.0,23.0,13.0,0.499,0.466,48.5,97.5,8.0,3.0,5.0,19.0,9.0,97.0,38.0,94.0,39.0,50.0,95.0,51.5,97.5,9.0,105.0,95.0,1.0,CHI,CLE,97.0,2016,2015-10-27
37.0,82.0,0.451,8.0,27.0,0.296,12.0,15.0,22.0,0.53,0.5,40.4,98.6,8.0,2.0,4.0,20.0,10.0,94.0,37.0,96.0,36.0,59.0,106.0,59.6,98.6,26.0,104.0,106.0,0.0,ATL,DET,94.0,2016,2015-10-27
37.0,96.0,0.385,12.0,29.0,0.414,20.0,26.0,23.0,0.493,0.448,59.6,111.2,7.0,4.0,5.0,21.0,26.0,106.0,37.0,82.0,33.0,40.0,94.0,40.4,111.2,10.0,121.0,94.0,1.0,DET,ATL,106.0,2016,2015-10-27
41.0,96.0,0.427,9.0,30.0,0.3,20.0,22.0,29.0,0.525,0.474,62.9,110.9,14.0,5.0,7.0,40.0,20.0,111.0,35.0,83.0,25.0,33.0,95.0,37.1,110.9,5.0,120.0,95.0,1.0,GSW,NOP,111.0,2016,2015-10-27
35.0,83.0,0.422,6.0,18.0,0.333,19.0,27.0,21.0,0.501,0.458,37.1,94.9,7.0,2.0,9.0,18.0,5.0,95.0,41.0,96.0,35.0,56.0,111.0,62.9,94.9,20.0,104.0,111.0,0.0,NOP,GSW,95.0,2016,2015-10-27
38.0,94.0,0.404,9.0,29.0,0.31,10.0,17.0,26.0,0.468,0.452,51.5,95.5,12.0,3.0,7.0,25.0,9.0,95.0,37.0,87.0,40.0,47.0,97.0,48.5,95.5,9.0,104.0,97.0,0.0,CLE,CHI,95.0,2016,2015-10-27
36.0,73.0,0.493,12.0,20.0,0.6,20.0,21.0,23.0,0.632,0.575,48.8,113.2,7.0,5.0,6.0,21.0,26.0,104.0,33.0,84.0,32.0,43.0,94.0,51.2,113.2,4.0,117.0,94.0,1.0,MIA,CHO,104.0,2016,2015-10-28
34.0,87.0,0.391,6.0,24.0,0.25,21.0,33.0,15.0,0.468,0.425,52.5,93.2,6.0,1.0,4.0,15.0,8.0,95.0,40.0,85.0,42.0,48.0,111.0,47.5,93.2,26.0,100.0,111.0,0.0,PHO,DAL,95.0,2016,2015-10-28
42.0,78.0,0.538,14.0,28.0,0.5,17.0,20.0,20.0,0.662,0.628,46.4,116.1,9.0,4.0,6.0,24.0,30.0,115.0,39.0,93.0,29.0,45.0,100.0,53.6,116.1,16.0,124.0,100.0,1.0,CHI,BRK,115.0,2016,2015-10-28
30.0,74.0,0.405,7.0,19.0,0.368,25.0,34.0,16.0,0.517,0.453,53.1,102.4,7.0,2.0,7.0,19.0,14.0,92.0,35.0,75.0,34.0,38.0,87.0,46.9,102.4,12.0,110.0,87.0,1.0,DET,UTA,92.0,2016,2015-10-28
35.0,75.0,0.467,2.0,12.0,0.167,15.0,21.0,15.0,0.516,0.48,46.9,96.9,10.0,2.0,6.0,26.0,12.0,87.0,30.0,74.0,35.0,43.0,92.0,53.1,96.9,14.0,101.0,92.0,0.0,UTA,DET,87.0,2016,2015-10-28
39.0,93.0,0.419,0.0,9.0,0.0,22.0,28.0,19.0,0.475,0.419,53.6,101.0,10.0,0.0,8.0,26.0,16.0,100.0,42.0,78.0,34.0,39.0,115.0,46.4,101.0,30.0,111.0,115.0,0.0,BRK,CHI,100.0,2016,2015-10-28
36.0,91.0,0.396,11.0,33.0,0.333,11.0,18.0,19.0,0.475,0.456,43.3,93.1,10.0,3.0,8.0,25.0,9.0,94.0,44.0,88.0,45.0,51.0,112.0,56.7,93.1,29.0,100.0,112.0,0.0,NOP,POR,94.0,2016,2015-10-28
44.0,88.0,0.5,12.0,32.0,0.375,12.0,14.0,22.0,0.595,0.568,56.7,111.0,14.0,6.0,11.0,37.0,29.0,112.0,36.0,91.0,34.0,39.0,94.0,43.3,111.0,9.0,118.0,94.0,1.0,POR,NOP,112.0,2016,2015-10-28
41.0,84.0,0.488,13.0,29.0,0.448,11.0,17.0,29.0,0.579,0.565,57.4,110.8,7.0,3.0,7.0,17.0,29.0,106.0,29.0,82.0,29.0,40.0,76.0,42.6,110.8,0.0,119.0,76.0,1.0,CLE,MEM,106.0,2016,2015-10-28
33.0,84.0,0.393,7.0,28.0,0.25,15.0,25.0,17.0,0.463,0.435,46.7,91.6,9.0,2.0,6.0,24.0,19.0,88.0,37.0,100.0,39.0,56.0,87.0,53.3,91.6,17.0,98.0,87.0,1.0,WAS,ORL,88.0,2016,2015-10-28
37.0,100.0,0.37,5.0,26.0,0.192,8.0,12.0,20.0,0.413,0.395,53.3,90.5,7.0,3.0,8.0,17.0,17.0,87.0,33.0,84.0,34.0,49.0,88.0,46.7,90.5,19.0,99.0,88.0,0.0,ORL,WAS,87.0,2016,2015-10-28
42.0,86.0,0.488,7.0,19.0,0.368,21.0,22.0,21.0,0.585,0.529,55.6,110.2,12.0,3.0,10.0,33.0,15.0,112.0,45.0,93.0,29.0,36.0,106.0,44.4,110.2,4.0,119.0,106.0,1.0,OKC,SAS,112.0,2016,2015-10-28
45.0,93.0,0.484,5.0,15.0,0.333,11.0,13.0,22.0,0.537,0.511,44.4,104.3,13.0,2.0,7.0,32.0,4.0,106.0,42.0,86.0,34.0,45.0,112.0,55.6,104.3,15.0,109.0,112.0,0.0,SAS,OKC,106.0,2016,2015-10-28
38.0,83.0,0.458,5.0,20.0,0.25,31.0,37.0,24.0,0.564,0.488,44.8,111.9,10.0,2.0,14.0,28.0,12.0,112.0,35.0,90.0,36.0,48.0,111.0,55.2,111.9,7.0,116.0,111.0,1.0,MIN,LAL,112.0,2016,2015-10-28
35.0,90.0,0.389,9.0,34.0,0.265,32.0,35.0,18.0,0.527,0.439,55.2,110.9,8.0,4.0,4.0,24.0,7.0,111.0,38.0,83.0,33.0,39.0,112.0,44.8,110.9,12.0,119.0,112.0,0.0,LAL,MIN,111.0,2016,2015-10-28
30.0,87.0,0.345,8.0,35.0,0.229,17.0,26.0,17.0,0.432,0.391,47.3,87.6,6.0,2.0,6.0,22.0,2.0,85.0,40.0,79.0,40.0,49.0,105.0,52.7,87.6,23.0,102.0,105.0,0.0,HOU,DEN,85.0,2016,2015-10-28
42.0,93.0,0.452,9.0,23.0,0.391,29.0,35.0,24.0,0.563,0.5,51.0,128.2,8.0,4.0,5.0,24.0,23.0,122.0,30.0,86.0,29.0,47.0,97.0,49.0,128.2,-1.0,137.0,97.0,1.0,NYK,MIL,122.0,2016,2015-10-28
