fg,fga,fg%,3p,3pa,3p%,ft,fta,ast,ts%,efg%,trb%,ortg,fg_max,3p_max,ast_max,pts_max,+/-_max,total,fg_opp,fga_opp,drb_opp,trb_opp,pts_opp,trb%_opp,drtg_opp,+/-_max_opp,drtg_max_opp,total_opp,won,team,team_opp,pts,season
39.0,81.0,0.481,6.0,20.0,0.3,14.0,18.0,26.0,0.551,0.519,48.0,103.7,7.0,2.0,6.0,20.0,9.0,98.0,36.0,100.0,31.0,51.0,95.0,52.0,103.7,11.0,111.0,95.0,1.0,0,6,98.0,2016
39.0,104.0,0.375,6.0,28.0,0.214,14.0,28.0,18.0,0.421,0.404,55.0,92.7,10.0,3.0,7.0,26.0,12.0,98.0,34.0,84.0,42.0,50.0,94.0,45.0,92.7,10.0,101.0,94.0,1.0,8,3,98.0,2016
43.0,93.0,0.462,9.0,29.0,0.31,21.0,31.0,18.0,0.544,0.511,52.1,113.8,9.0,3.0,6.0,22.0,8.0,116.0,45.0,88.0,35.0,45.0,122.0,47.9,113.8,30.0,123.0,122.0,0.0,7,6,116.0,2016
45.0,88.0,0.511,11.0,29.0,0.379,21.0,27.0,25.0,0.611,0.574,47.9,119.7,10.0,4.0,6.0,27.0,30.0,122.0,43.0,93.0,31.0,49.0,116.0,52.1,119.7,8.0,126.0,116.0,1.0,6,7,122.0,2016
39.0,96.0,0.406,5.0,17.0,0.294,9.0,11.0,19.0,0.456,0.432,54.8,97.0,9.0,1.0,8.0,20.0,-1.0,92.0,40.0,78.0,37.0,42.0,107.0,45.2,97.0,14.0,105.0,107.0,0.0,21,26,92.0,2016
40.0,78.0,0.513,9.0,24.0,0.375,18.0,21.0,27.0,0.613,0.571,45.2,112.9,9.0,3.0,6.0,28.0,14.0,107.0,39.0,96.0,32.0,51.0,92.0,54.8,112.9,-1.0,122.0,92.0,1.0,26,21,107.0,2016
38.0,85.0,0.447,7.0,33.0,0.212,18.0,27.0,17.0,0.521,0.488,46.8,106.1,11.0,4.0,8.0,34.0,18.0,101.0,41.0,87.0,35.0,50.0,104.0,53.2,106.1,15.0,116.0,104.0,0.0,10,11,101.0,2016
41.0,87.0,0.471,9.0,26.0,0.346,13.0,20.0,25.0,0.543,0.523,53.2,109.2,10.0,4.0,7.0,25.0,15.0,104.0,38.0,85.0,33.0,44.0,101.0,46.8,109.2,18.0,119.0,101.0,1.0,11,10,104.0,2016
40.0,83.0,0.482,9.0,17.0,0.529,19.0,25.0,25.0,0.574,0.536,55.8,112.6,10.0,3.0,7.0,27.0,19.0,108.0,33.0,82.0,32.0,38.0,92.0,44.2,112.6,-1.0,118.0,92.0,1.0,15,23,108.0,2016
33.0,82.0,0.402,5.0,22.0,0.227,21.0,27.0,12.0,0.49,0.433,44.2,95.9,11.0,3.0,4.0,34.0,-1.0,92.0,40.0,83.0,41.0,48.0,108.0,55.8,95.9,19.0,104.0,108.0,0.0,23,15,92.0,2016
37.0,77.0,0.481,6.0,15.0,0.4,25.0,34.0,21.0,0.571,0.519,43.7,110.1,10.0,3.0,6.0,26.0,19.0,105.0,38.0,84.0,34.0,49.0,94.0,56.3,110.1,4.0,118.0,94.0,1.0,16,23,105.0,2016
38.0,84.0,0.452,5.0,24.0,0.208,13.0,17.0,23.0,0.514,0.482,56.3,98.6,8.0,2.0,7.0,20.0,4.0,94.0,37.0,77.0,29.0,38.0,105.0,43.7,98.6,19.0,109.0,105.0,0.0,23,16,94.0,2016
36.0,78.0,0.462,16.0,34.0,0.471,32.0,43.0,25.0,0.619,0.564,47.8,120.5,7.0,5.0,9.0,31.0,14.0,120.0,46.0,98.0,34.0,47.0,113.0,52.2,120.5,8.0,130.0,113.0,1.0,10,25,120.0,2016
